,alpha_daily,beta,r_squared,alpha_t_stat,beta_t_stat,residual_vol_daily
2020-04-02,0.0012100548383253077,0.07099013256098305,0.025150723525857788,0.6162352750590626,1.2545021855065785,0.015387862991345211
2020-04-03,0.001085553984120831,0.07098513395141731,0.025412726035831,0.555263023361289,1.2611890072768244,0.01531587477303659
2020-04-06,0.0013321524386344973,0.08925896722120982,0.041063386974139804,0.6747659795167853,1.6162083682110484,0.015506869158983926
2020-04-07,0.0011786216857992103,0.08898667405490941,0.04073395715496386,0.5963420258145957,1.6094358949173475,0.015525742470918842
2020-04-08,0.001106961445548925,0.08409926302391486,0.03687536280577919,0.5589351180821276,1.5282409133233545,0.015569796190927028
2020-04-09,0.0016103638160041636,0.08982121697829676,0.04067870793799,0.8002901701670232,1.6082977364916884,0.015822445673114166
2020-04-13,0.0017930492509696254,0.08842895242997817,0.038915411488926854,0.8840552199444338,1.5716105098967472,0.015945895911876857
2020-04-14,0.0020075143384753608,0.09073412161195231,0.0415404682924152,0.9930415642105236,1.6259744658554918,0.015901497220765393
2020-04-15,0.001971355045892153,0.09195712884071384,0.04275913363220252,0.9741760241408457,1.6507022774963658,0.0159111350621584
2020-04-16,0.0018604743261231382,0.09151528340759169,0.04238881141877027,0.9195339769692369,1.6432208288534873,0.015909421154599302
2020-04-17,0.001538486667396049,0.08390857865231355,0.03502647288900684,0.7480248352001383,1.4880085316799234,0.01617863932672237
2020-04-20,0.0016474634274150036,0.08257734182220933,0.033952908406920224,0.7994745081812955,1.464213004587181,0.016203043210055734
2020-04-21,0.0015635719371243138,0.0845558316872195,0.035794442979217966,0.7574435523676984,1.5048316148064704,0.016220258289921838
2020-04-22,0.001849766844106948,0.089179735270501,0.03932944302803021,0.8896540115237228,1.5802892118614122,0.01634667208544717
2020-04-23,0.001974153802329775,0.08934895936694034,0.039322658120047094,0.9476023888175752,1.5801473143769305,0.016378578204173495
2020-04-24,0.0017794126025085957,0.0883824481273221,0.03852294513142662,0.8537104483735986,1.5633463223029511,0.016394387611933785
2020-04-27,0.0015222466799940234,0.08774800754366249,0.03790214211300835,0.7296324524088298,1.5501979972968276,0.016417998595681882
2020-04-28,0.0016166303712602228,0.0895357303214449,0.03957012120427783,0.7770060988157512,1.5853157581351307,0.016369314372280862
2020-04-29,0.0015805419427594588,0.09002615438040058,0.04035235229310252,0.7602268415808942,1.6015608508154076,0.016363082021093517
2020-04-30,0.0013119750418944327,0.09190837718817044,0.04118341703607287,0.6244525429813331,1.6186700757852452,0.016533448703464317
2020-05-01,0.0013289546112769475,0.090984367275459,0.040515715495639926,0.6321781385507017,1.6049360823960244,0.01654089544628904
2020-05-04,0.001495708556866788,0.09193691066505838,0.04147081485236681,0.7129322268920352,1.6245516797342192,0.016506557289216822
2020-05-05,0.0017830041476544546,0.09524369831466209,0.044942075650124536,0.8562866497904444,1.6942466068662756,0.016381314037347796
2020-05-06,0.0015889930034468684,0.09631982577611833,0.045347248585823174,0.7585254006845104,1.702227780849468,0.016474855569720677
2020-05-07,0.0017366591125355284,0.09811282945859075,0.04667248371392785,0.8256040585716433,1.7281216444791638,0.016545716073517753
2020-05-08,0.001562899041102966,0.09625716754169128,0.0449438466324098,0.7414415392445161,1.6942815590514564,0.016586414404524564
