,alpha_daily,beta,r_squared,alpha_t_stat,beta_t_stat,residual_vol_daily
2020-04-02,0.002464577627745549,-0.33475158927346416,0.2587195711812812,0.9789853964113122,-4.614113697011272,0.019728138203457247
2020-04-03,0.0022257679480168872,-0.33346161209593006,0.25820550471574966,0.8854712378210875,-4.607929891838068,0.01969221459713555
2020-04-06,0.002648297777971087,-0.31768941684607566,0.2498791271454628,1.0511921560815827,-4.507796297079954,0.01978828155616062
2020-04-07,0.0025780179448757104,-0.3182778278465611,0.24989179200645129,1.0214821587132323,-4.50794858781404,0.019825699412701545
2020-04-08,0.0027121215214185018,-0.3172468113262607,0.25194985058008135,1.0767075600458496,-4.5326962128768695,0.019802645478531306
2020-04-09,0.0027286424955317037,-0.31673674102265076,0.25179335787202706,1.0833291531257758,-4.530814405269956,0.01980538550179756
2020-04-13,0.0024137713244923413,-0.3153671430944672,0.24887568823097206,0.9545895031399245,-4.495730248884644,0.019879962827317587
2020-04-14,0.0025756191741107943,-0.31253491006890627,0.24731893725249066,1.018443432123588,-4.477010455274714,0.01989259890368624
2020-04-15,0.002809087387309744,-0.31658374773264647,0.2508079484061545,1.10383677544405,-4.5189650738207146,0.02000940345310429
2020-04-16,0.002898041695883726,-0.31600041266208956,0.24957168149808295,1.1370164299773309,-4.504099364211763,0.020041783565812817
2020-04-17,0.0028256547310776554,-0.318246768500805,0.25351090069450255,1.1079746304686293,-4.551468081926562,0.020061044951795486
2020-04-20,0.0029855803764040605,-0.3175603690341265,0.2540467125910103,1.1727726730752661,-4.557911529270778,0.02001706309245272
2020-04-21,0.0028754761452531776,-0.3175757911300194,0.25624014861490885,1.1298546724622571,-4.584290607996113,0.019997575938136898
2020-04-22,0.002765440061449745,-0.31930289722196126,0.2593646265361924,1.0864586685820075,-4.621873603863639,0.020011725725146996
2020-04-23,0.002732175469905576,-0.3194148806149677,0.2596010277865859,1.0736821778200487,-4.624717591403344,0.020005720845626164
2020-04-24,0.0027583278462942774,-0.31846086506128424,0.2588163973169024,1.0842576338531789,-4.615278469213377,0.02000978990541766
2020-04-27,0.002367963934552142,-0.3201685448595853,0.2593078374708109,0.9272983456668066,-4.62119042189552,0.02009531967906381
2020-04-28,0.002599269822084224,-0.3195108028947307,0.2581700960765919,1.0174798881833045,-4.60750396467038,0.02009878083594487
2020-04-29,0.0024987946963639703,-0.3193377407572172,0.26000217585599306,0.9794470065651825,-4.6295436938226295,0.020079454665114283
2020-04-30,0.002249512039262121,-0.3176422937707606,0.2558826288415229,0.876567210743331,-4.579990718305257,0.020194840062810346
2020-05-01,0.0021996460570008446,-0.3168146182473319,0.25564157209447724,0.8569896120864859,-4.577091583191562,0.02019601052101597
2020-05-04,0.0021140579742521923,-0.31703350790140555,0.2555064519857756,0.823009320988194,-4.575466542363036,0.020210167412488704
2020-05-05,0.0021979970439251944,-0.315647730870024,0.2541212955001888,0.8570422304160203,-4.558808443056182,0.020176249396110728
2020-05-06,0.002028201976140955,-0.3129846471020283,0.24819951071957258,0.7855039999733063,-4.4875993455004854,0.020306382391315946
2020-05-07,0.0022693746387907505,-0.31026903889798224,0.24298784996401646,0.8735389187283877,-4.424923549142503,0.020434628446249853
2020-05-08,0.00197061821329717,-0.3119453508309725,0.24546279730197063,0.7584638502542567,-4.454689396759197,0.020444011043608275
2020-05-11,0.0017661286368910246,-0.3124385313673773,0.24530420336718672,0.6786129816866517,-4.452782139057663,0.02047629693229727
2020-05-12,0.0019012234845222136,-0.31266805525252117,0.24653019222671113,0.7307421422250637,-4.467525576017934,0.020462409151814444
2020-05-13,0.0019741163679714464,-0.31210542288287324,0.24642291625152346,0.7587259750113816,-4.466235532284279,0.020452673300807297
2020-05-14,0.0021365460627172446,-0.3102881146599798,0.24375382723954941,0.8193606193780428,-4.434136357608015,0.02050353084247206
2020-05-15,0.0020403442549918136,-0.3106369942718342,0.24421191342794568,0.7824767476524661,-4.439645766931823,0.020504591694766258
2020-05-18,0.0017393331290840243,-0.31580521448129123,0.2512008823450277,0.6650511003935213,-4.523689998898515,0.02057813546096693
2020-05-19,0.0017245730159304797,-0.3156611458696231,0.25110400260883303,0.6592304986980854,-4.5225250441881535,0.020578698761187668
2020-05-20,0.0017552834512592123,-0.3141431867123129,0.24984594241714497,0.6709275809715896,-4.5073972617649565,0.020586757275291107
2020-05-21,0.0016642245342091656,-0.313601557064785,0.249217534714554,0.6363615446965888,-4.499840858851126,0.02057992239017119
2020-05-22,0.0016980051693456888,-0.3123959138750175,0.24548202791054796,0.6493023292258149,-4.454920663893912,0.0205862208199144
2020-05-26,0.0016122947601514706,-0.3160251759381697,0.2475443883405949,0.6155380531276087,-4.47972152518701,0.020621856643643043
2020-05-27,0.0017603588596816619,-0.31619261511917895,0.2486296210792608,0.672861767507944,-4.49277134888227,0.02059643933631369
2020-05-28,0.0017486124406801752,-0.31875276222304216,0.2470692578534014,0.6680054689087107,-4.474008017103014,0.020600190128867317
2020-05-29,0.001545506185318108,-0.31725211074469306,0.2476698379122526,0.5941573848625603,-4.481230060662509,0.020468069331828317
2020-06-01,0.0013592820552394687,-0.3200284437218503,0.2467888155489283,0.5225498145178947,-4.470635621381998,0.020477010001698485
2020-06-02,0.0012407735453063807,-0.31842094905924356,0.2432498255644735,0.4769941959533796,-4.42807452394356,0.020468893846966017
2020-06-03,0.001054775271633307,-0.3208064353187566,0.24181991936422897,0.404834061585423,-4.410875182366147,0.020508681231817212
2020-06-04,0.0005780120055736443,-0.31432721040753636,0.23131312727500974,0.22143698471932693,-4.284403104774135,0.020539125250991636
2020-06-05,-0.00017082350766124333,-0.3035724044036578,0.23502121172947743,-0.06830335517326522,-4.329061459924199,0.019663117810012176
2020-06-08,-0.0001215115189766603,-0.29870297957357456,0.21448965001401732,-0.04838313994920674,-4.08123997584458,0.019681281816974025
2020-06-09,0.0005364667348562213,-0.2752296950942916,0.19161626990639857,0.2199165281855036,-3.802527173786677,0.019158554404285644
2020-06-10,0.0016657111446444406,-0.3151255609226998,0.2525512873777337,0.7240008343142247,-4.539928485234227,0.0180371173330712
2020-06-11,0.0022024792950581054,-0.35489700496717247,0.2887308964463129,0.9736163090754048,-4.976162740868565,0.017692158778640554
