Date,SPY,QQQ,TLT,GLD,HYG,SHY
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,-0.005678523849064088,0.0,-0.001020579500257135,-0.00035349432792819435
2020-01-07,-0.0028116112144996874,-0.00013919080562097008,-0.010566293290968809,0.0,-0.0019277341609748033,-0.00035349432792819435
2020-01-08,0.0,0.0,-0.017107789892495395,-0.007501524641443713,-0.001020579500257135,-0.000824715822885902
2020-01-09,0.0,0.0,-0.0136572252067092,-0.013110782086922068,0.0,-0.000707197207082122
2020-01-10,-0.0028778125761942386,-0.002556858543124263,-0.004887968390514308,-0.007163597687700918,0.0,-0.0004718471486357956
2020-01-13,0.0,0.0,-0.007906748277154763,-0.01452993092348187,0.0,-0.0005892614888265424
2020-01-14,-0.0015243368472844798,-0.003937276175086546,-0.002803384858591662,-0.015408520379047275,-0.00011375475206210073,-0.0004718471486357956
2020-01-15,0.0,-0.003530105178674914,0.0,-0.009664174648734147,0.0,-4.440892098500626e-16
2020-01-16,0.0,0.0,-0.003150485217533361,-0.01121851489095671,0.0,-4.440892098500626e-16
2020-01-17,0.0,0.0,-0.011671818378570453,-0.009393791837408627,-0.000792088151443382,0.0
2020-01-21,-0.0019583624400028032,-0.0004476797028926116,-0.0012888528793171261,-0.00831246683376341,-0.0029410678015404645,0.0
2020-01-22,-0.0018378447329536751,0.0,0.0,-0.007974643000848713,-0.001130945812173989,0.0
2020-01-23,-0.000692624718724888,0.0,0.0,-0.005744448851140893,-0.004184621243021436,0.0
2020-01-24,-0.009580051120432365,-0.008415532089309563,0.0,0.0,-0.008368207713232989,0.0
2020-01-27,-0.02545569374740453,-0.028897072653651712,0.0,0.0,-0.015040301053149019,0.0
2020-01-28,-0.015243075563596276,-0.013981237844317373,-0.007831632560087232,-0.008926785569624784,-0.006559485710609048,-0.0004705210354832845
2020-01-29,-0.016056620385720977,-0.012378175282084847,0.0,-0.0035572773995312668,-0.007124715140740756,0.0
2020-01-30,-0.012863404144360269,-0.008860447337572186,0.0,-0.003490195672788299,-0.006107046516750647,0.0
