,alpha_daily,beta,r_squared,alpha_t_stat,beta_t_stat,residual_vol_daily
2020-04-02,0.0015448531103115428,0.9832770117855076,0.9574181445057278,1.6768060280313513,37.034241432795895,0.007219783562014195
2020-04-03,0.001572547126071836,0.9833214081638448,0.9575838517716946,1.708560817720884,37.10972280284738,0.007210449862856024
2020-04-06,0.001624305826679308,0.9866011362716827,0.960162123182417,1.7659120152200012,38.3432666859164,0.00722473824714277
2020-04-07,0.0015597644674992873,0.9864776774985298,0.9600642216818723,1.6938619981060312,38.29428663697884,0.007233597919909737
2020-04-08,0.001323844565672511,0.9805498740576019,0.9581329458849293,1.4016454817296122,37.36298818239717,0.007425242564795751
2020-04-09,0.001075339755044014,0.977410337978581,0.9554661488210628,1.1046690341485257,36.17657462064454,0.007654390486248932
2020-04-13,0.001381250856525431,0.9757482753831863,0.9513608197460846,1.3564878953836583,34.54175702573819,0.008005578796779692
2020-04-14,0.0015453710270452357,0.9804099019259628,0.9504463080947884,1.4882691136776194,34.205087314072934,0.008167668168175369
2020-04-15,0.0017293911353937535,0.9785972052445335,0.9500039026801189,1.6562963986983632,34.045487701429195,0.008209730884567236
2020-04-16,0.0019746195554278235,0.979713867643955,0.9487385447453931,1.864097827729068,33.60026669462319,0.008329390281075334
2020-04-17,0.0016739143041562235,0.9733401395697687,0.9445995474671371,1.5206313446677744,32.25017888955314,0.008659115961967627
2020-04-20,0.001726362536682864,0.9726431404764657,0.9445238969091604,1.565461427410832,32.226891681987674,0.008671117277349242
2020-04-21,0.0015932202452295877,0.9756576419998735,0.9444474535951903,1.4314238952486642,32.203407833284466,0.008745763420190985
2020-04-22,0.0016839510941617838,0.9774542726172433,0.9445650001306639,1.5074940126612735,32.23953852352718,0.008782282033684533
2020-04-23,0.001617757597533782,0.9773561147510519,0.9444018642829305,1.4461419284045267,32.18942512995832,0.008794757946410003
2020-04-24,0.0016474137899583066,0.9773379028817799,0.9445379123905027,1.4735986976406141,32.23120248554894,0.008793314401282969
2020-04-27,0.0016277596374164977,0.9747824128987567,0.944123660656228,1.4545115512339384,32.104461165447965,0.008806684166717892
2020-04-28,0.0013184452115248427,0.9749013428507312,0.9414633261118556,1.1498688703993025,31.32222465661006,0.009021067947301585
2020-04-29,0.0014401517292795976,0.9776134976875991,0.9414730206095153,1.2476543690677255,31.324979959170516,0.00908481818007771
2020-04-30,0.0015712193532334698,0.9769783400250158,0.9408913735289042,1.3543525711856856,31.160845071935046,0.00912940346407465
2020-05-01,0.0015060051081541082,0.9781732919857151,0.9410957275136818,1.2961564565383057,31.218240365085226,0.00914233979655084
2020-05-04,0.0015233383468362524,0.9778838471233496,0.9408600672556093,1.3090425633466567,31.15207806422372,0.009155886047025068
2020-05-05,0.0014314916586975143,0.9767320325417927,0.9410722102724308,1.2349692746036292,31.211620381769677,0.009119021185598122
2020-05-06,0.001762368030114207,0.9775157584187828,0.9407106869220505,1.5150387596403458,31.110339256724718,0.009148346846020339
2020-05-07,0.0016942307611127,0.9772028906674237,0.9409162478321,1.4584881933551144,31.16781573398007,0.009137185715550552
2020-05-08,0.0016396079264386278,0.97631210256928,0.9408360297722038,1.4097368499947853,31.14535123239505,0.009151672240510125
2020-05-11,0.0017019150662577066,0.9761181166001706,0.9403350239271552,1.4575214989640903,31.006053226297183,0.009187009448800958
2020-05-12,0.001703851043528451,0.9769134125880985,0.9406411954314932,1.4586709802026303,31.09097502209194,0.009186752786841121
2020-05-13,0.0017232286549490974,0.9761945958263507,0.9406081694463209,1.4736160366200912,31.081783792377593,0.009192229376808917
2020-05-14,0.0017212078613689339,0.9758870053739739,0.9406931376460548,1.4722756858440613,31.105445897643072,0.009192542857676437
2020-05-15,0.0017324705077507217,0.9759244278692284,0.9407174630883659,1.4820185469947935,31.112229260876543,0.009192451103403344
2020-05-18,0.0015043956497270668,0.9713286827026046,0.9391639064577975,1.2686724779833956,30.687036847581087,0.009330197123948312
2020-05-19,0.001543255957877404,0.9704931553506257,0.9388411426618332,1.2982927486619846,30.60069518296161,0.009350588512086316
